Original Genotype ID,2020 Mote ID,MR DNA ID,Genotype,Outlier,Collection & Preservation Date,Species,Reef Name,Lat,Long,Region,Original Collection Date,Baums MSAT clonal ID,Comments/dates when corals introduced to nursery,Date Introduced into Nursery,Max Years Spent in Nursery,Max Years Spent from Original Collection,,,,,,,,,,,,,,,,,,,# previously collected =,#REF!
1,M-L-1,AC1.4,1.4,No,11/12/2019,cervicornis,Billys Reef,24.56937,-81.33028,Lower Keys,2/23/2008,C1153 (AF),2/23/2008,2/23/2008,11.718,11.718,,,,,,,,,,,,,,,,,,,# collected on 12/13/19 =,#REF!
3,M-L-3,AC3.19,3.19,Yes,11/12/2019,cervicornis,Nursery reef,24.56307,-81.401,Lower Keys,2/23/2008,C1155 (BR),2/23/2008,2/23/2008,11.718,11.718,,,,,,,,,,,,,,,,,,,TOTAL genotypes in Mote's in-situ nurseries = ,#REF!
4,M-L-4,AC4.13,4.13,No,11/12/2019,cervicornis,Patch E. of Looe Research,24.56935,-81.38168,Lower Keys,2/23/2008,C1156 (CW),2/23/2008,2/23/2008,11.718,11.718,,,,,,,,,,,,,,,,,,,,
5,M-L-5,AC5.5,5.5,No,11/12/2019,cervicornis,American Shoals,24.52257,-81.51978,Lower Keys,2/22/2008,C1157 (CU),2/23/2008,2/23/2008,11.718,11.721,,,,,,,,,,,,,,,,,,,,
6,M-L-6,AC6,6,No,12/13/2019,cervicornis,American Shoals,24.52298,-81.52043,Lower Keys,2/22/2008,C1158 (AH),2/23/2008,2/23/2008,11.803,11.806,,,,,,,,,,,,,,,,,,,,
7,M-L-7,AC7.21,7.21,Yes,11/12/2019,cervicornis,Wonderland,24.56038,-81.50137,Lower Keys,2/23/2008,C1159 (AU),2/23/2008,2/23/2008,11.718,11.718,,,,,,,,,,,,,,,,,,,,
8,M-L-8,AC8,8,No,12/13/2019,cervicornis,Mid-channel patch off Summerland Key,24.58353,-81.43298,Lower Keys,2/23/2008,C1160 (L),2/23/2008,2/23/2008,11.803,11.803,,,,,,,,,,,,,,,,,,,,
10,M-L-10,AC10.4,10.4,No,11/12/2019,cervicornis,Chad's nearshore heads,24.61515,-81.37917,Lower Keys,2/23/2008,C1083 (DG),2/23/2008,2/23/2008,11.718,11.718,,,,,,,,,,,,,,,,,,,,
13,M-L-13,AC13.22,13.22,No,11/12/2019,cervicornis,Munson Reef,24.59592,-81.37162,Lower Keys,12/1/2009,C1365,12/1/2009,12/1/2009,9.947,9.947,,,,,,,,,,,,,,,,,,,,
20,M-L-20,AC20,20,No,12/13/2019,cervicornis,Nearshore field trial site,24.62167,-81.36313,Lower Keys,12/15/2009, C1191,12/15/2009,12/15/2009,9.993,9.993,,,,,,,,,,,,,,,,,,,,
29,M-L-29,AC29,29,No,12/13/2019,cervicornis,Maryland Shoals Rockpiles,24.52172,-81.57675,Lower Keys,5/28/2010, C1377,5/28/2010,5/28/2010,9.544,9.544,,,,,,,,,,,,,,,,,,,,
31,M-L-31,AC31.15,31.15,No,11/12/2019,cervicornis,Porkys,24.5477,-81.45696,Lower Keys,3/18/2010, C1369,3/18/2010,3/18/2010,9.654,9.654,,,,,,,,,,,,,,,,,,,,
34,M-L-34,AC34,34,No,12/13/2019,cervicornis,Int. reef W. of Looe Key,24.53865,-81.44358,Lower Keys,3/26/2010, C1363,3/26/2010,3/26/2010,9.717,9.717,,,,,,,,,,,,,,,,,,,,
